Word: The, PoS: determiners, Count: 1
Word: fulton, PoS: nouns, Count: 15
Word: county, PoS: nouns, Count: 151
Word: grand, PoS: adjectives, Count: 48
Word: jury, PoS: nouns, Count: 66
Word: said, PoS: verbs, Count: 1943
Word: friday, PoS: others, Count: 54
Word: friday, PoS: nouns, Count: 1
Word: an, PoS: determiners, Count: 1
Word: an, PoS: others, Count: 1
Word: an, PoS: conjunctions, Count: 1
Word: investigation, PoS: nouns, Count: 51
Word: of, PoS: prepositions, Count: 1
Word: of, PoS: others, Count: 1
Word: atlanta's, PoS: nouns, Count: 4
Word: recent, PoS: adjectives, Count: 169
Word: primary, PoS: nouns, Count: 15
Word: primary, PoS: adjectives, Count: 79
Word: election, PoS: nouns, Count: 74
Word: produced, PoS: verbs, Count: 90
Word: no, PoS: determiners, Count: 1
Word: no, PoS: adverbs, Count: 1
Word: evidence, PoS: nouns, Count: 200
Word: evidence, PoS: verbs, Count: 1
Word: that, PoS: conjunctions, Count: 2
Word: that, PoS: others, Count: 3
Word: that, PoS: determiners, Count: 1
Word: that, PoS: adverbs, Count: 1
Word: that, PoS: pronouns, Count: 1
Word: any, PoS: others, Count: 1
Word: any, PoS: adverbs, Count: 1
Word: irregularities, PoS: nouns, Count: 8
Word: took, PoS: verbs, Count: 425
Word: place, PoS: nouns, Count: 495
Word: place, PoS: verbs, Count: 54
Word: further, PoS: adverbs, Count: 1
Word: further, PoS: adjectives, Count: 1
Word: further, PoS: verbs, Count: 1
Word: further, PoS: determiners, Count: 1
Word: in, PoS: prepositions, Count: 1
Word: in, PoS: others, Count: 1
Word: in, PoS: nouns, Count: 1
Word: term-end, PoS: nouns, Count: 1
Word: presentments, PoS: nouns, Count: 1
Word: the, PoS: determiners, Count: 1
Word: the, PoS: others, Count: 1
Word: city, PoS: nouns, Count: 385
Word: executive, PoS: adjectives, Count: 15
Word: executive, PoS: nouns, Count: 40
Word: committee, PoS: nouns, Count: 167
Word: which, PoS: others, Count: 1
Word: had, PoS: verbs, Count: 1
Word: had, PoS: others, Count: 1
Word: over-all, PoS: adjectives, Count: 35
Word: charge, PoS: nouns, Count: 106
Word: charge, PoS: verbs, Count: 15
Word: deserves, PoS: verbs, Count: 16
Word: praise, PoS: nouns, Count: 13
Word: praise, PoS: verbs, Count: 4
Word: and, PoS: conjunctions, Count: 1
Word: and, PoS: others, Count: 1
Word: thanks, PoS: nouns, Count: 29
Word: atlanta, PoS: nouns, Count: 33
Word: for, PoS: prepositions, Count: 1
Word: for, PoS: conjunctions, Count: 1
Word: for, PoS: adverbs, Count: 1
Word: for, PoS: nouns, Count: 1
Word: manner, PoS: nouns, Count: 124
Word: was, PoS: verbs, Count: 1
Word: conducted, PoS: verbs, Count: 55
Word: September-October, PoS: nouns, Count: 1
Word: term, PoS: nouns, Count: 76
Word: term, PoS: verbs, Count: 3
Word: been, PoS: verbs, Count: 3
Word: charged, PoS: verbs, Count: 57
Word: by, PoS: prepositions, Count: 1
Word: by, PoS: adverbs, Count: 1
Word: by, PoS: others, Count: 1
Word: superior, PoS: adjectives, Count: 44
Word: superior, PoS: nouns, Count: 1
Word: court, PoS: nouns, Count: 217
Word: court, PoS: verbs, Count: 2
Word: judge, PoS: nouns, Count: 55
Word: judge, PoS: verbs, Count: 17
Word: durwood, PoS: nouns, Count: 1
Word: pye, PoS: nouns, Count: 1
Word: to, PoS: others, Count: 1
Word: to, PoS: prepositions, Count: 1
Word: to, PoS: nouns, Count: 1
Word: to, PoS: adverbs, Count: 1
Word: investigate, PoS: verbs, Count: 11
Word: reports, PoS: nouns, Count: 66
Word: reports, PoS: verbs, Count: 13
Word: possible, PoS: adjectives, Count: 373
Word: hard-fought, PoS: adjectives, Count: 2
Word: won, PoS: verbs, Count: 1
Word: mayor-nominate, PoS: nouns, Count: 1
Word: ivan, PoS: nouns, Count: 4
Word: allen, PoS: nouns, Count: 20
Word: Jr., PoS: nouns, Count: 75
Word: Only, PoS: adverbs, Count: 1
