distinct words: 42350
distint POS tags: 9
total words: 372211
words count 1: 18989


frequency:
determiners: 4513
nouns: 191731
adjectives: 49367
verbs: 86786
prepositions: 4325
conjunctions: 2255
adverbs: 22256
others: 9250
pronouns: 1728


POS Tags:
adjectives
nouns
pronouns
determiners
verbs
conjunctions
adverbs
others
prepositions
Word: the, PoS: determiners, Count: 1
Word: fulton, PoS: nouns, Count: 17
Word: county, PoS: nouns, Count: 108
Word: grand, PoS: adjectives, Count: 37
Word: jury, PoS: nouns, Count: 46
Word: said, PoS: verbs, Count: 1332
Word: friday, PoS: nouns, Count: 46
Word: an, PoS: determiners, Count: 1
Word: investigation, PoS: nouns, Count: 42
Word: of, PoS: prepositions, Count: 1
Word: atlanta's, PoS: nouns, Count: 4
Word: recent, PoS: adjectives, Count: 130
Word: primary, PoS: nouns, Count: 15
Word: election, PoS: nouns, Count: 67
Word: produced, PoS: verbs, Count: 64
Word: no, PoS: determiners, Count: 1
Word: evidence, PoS: nouns, Count: 155
Word: that, PoS: conjunctions, Count: 1
Word: any, PoS: determiners, Count: 1
Word: irregularities, PoS: nouns, Count: 6
Word: took, PoS: verbs, Count: 306
Word: place, PoS: nouns, Count: 337
Word: further, PoS: adverbs, Count: 1
Word: in, PoS: prepositions, Count: 1
Word: term-end, PoS: nouns, Count: 1
Word: presentments, PoS: nouns, Count: 1
Word: city, PoS: nouns, Count: 299
Word: executive, PoS: adjectives, Count: 12
Word: committee, PoS: nouns, Count: 120
Word: which, PoS: others, Count: 1
Word: had, PoS: verbs, Count: 1
Word: over-all, PoS: adjectives, Count: 27
Word: charge, PoS: nouns, Count: 69
Word: deserves, PoS: verbs, Count: 12
Word: praise, PoS: nouns, Count: 10
Word: and, PoS: conjunctions, Count: 1
Word: thanks, PoS: nouns, Count: 20
Word: atlanta, PoS: nouns, Count: 34
Word: for, PoS: prepositions, Count: 1
Word: manner, PoS: nouns, Count: 83
Word: was, PoS: verbs, Count: 1
Word: conducted, PoS: verbs, Count: 44
Word: september-october, PoS: nouns, Count: 1
Word: term, PoS: nouns, Count: 44
Word: been, PoS: verbs, Count: 1
Word: charged, PoS: verbs, Count: 36
Word: by, PoS: prepositions, Count: 1
Word: superior, PoS: adjectives, Count: 35
Word: court, PoS: nouns, Count: 159
Word: judge, PoS: nouns, Count: 37
Word: durwood, PoS: nouns, Count: 1
Word: pye, PoS: nouns, Count: 1
Word: to, PoS: others, Count: 1
Word: investigate, PoS: verbs, Count: 10
Word: reports, PoS: nouns, Count: 48
Word: possible, PoS: adjectives, Count: 261
Word: hard-fought, PoS: adjectives, Count: 2
Word: won, PoS: verbs, Count: 1
Word: mayor-nominate, PoS: nouns, Count: 1
Word: ivan, PoS: nouns, Count: 4
Word: allen, PoS: nouns, Count: 14
Word: jr., PoS: nouns, Count: 62
Word: only, PoS: adverbs, Count: 1
Word: a, PoS: determiners, Count: 1
Word: relative, PoS: adjectives, Count: 30
Word: handful, PoS: nouns, Count: 8
Word: such, PoS: adjectives, Count: 1
Word: received, PoS: verbs, Count: 118
Word: considering, PoS: prepositions, Count: 17
Word: widespread, PoS: adjectives, Count: 20
Word: interest, PoS: nouns, Count: 229
Word: number, PoS: nouns, Count: 302
Word: voters, PoS: nouns, Count: 18
Word: size, PoS: nouns, Count: 75
Word: this, PoS: determiners, Count: 1
Word: it, PoS: pronouns, Count: 1
Word: did, PoS: verbs, Count: 1
Word: find, PoS: verbs, Count: 253
Word: many, PoS: determiners, Count: 711
Word: georgia's, PoS: nouns, Count: 7
Word: registration, PoS: nouns, Count: 22
Word: laws, PoS: nouns, Count: 72
Word: are, PoS: verbs, Count: 1
Word: outmoded, PoS: adjectives, Count: 3
Word: or, PoS: conjunctions, Count: 1
Word: inadequate, PoS: adjectives, Count: 21
Word: often, PoS: adverbs, Count: 252
Word: ambiguous, PoS: adjectives, Count: 20
Word: recommended, PoS: verbs, Count: 30
Word: legislators, PoS: nouns, Count: 15
Word: act, PoS: verbs, Count: 49
Word: have, PoS: verbs, Count: 1
Word: these, PoS: determiners, Count: 1
Word: studied, PoS: verbs, Count: 58
Word: revised, PoS: verbs, Count: 12
Word: to, PoS: prepositions, Count: 1
Word: end, PoS: nouns, Count: 271
Word: modernizing, PoS: verbs, Count: 3
Word: improving, PoS: verbs, Count: 13
Word: them, PoS: pronouns, Count: 1
Word: commented, PoS: verbs, Count: 16
Word: on, PoS: prepositions, Count: 1
Word: other, PoS: determiners, Count: 1
Word: topics, PoS: nouns, Count: 7
Word: among, PoS: prepositions, Count: 257
Word: purchasing, PoS: verbs, Count: 8
Word: departments, PoS: nouns, Count: 18
Word: well, PoS: adverbs, Count: 506
Word: operated, PoS: verbs, Count: 23
Word: follow, PoS: verbs, Count: 73
Word: generally, PoS: adverbs, Count: 80
Word: accepted, PoS: verbs, Count: 63
Word: practices, PoS: nouns, Count: 40
Word: inure, PoS: verbs, Count: 2
Word: best, PoS: adjectives, Count: 177
Word: both, PoS: determiners, Count: 1
Word: governments, PoS: nouns, Count: 51
Word: merger, PoS: nouns, Count: 14
Word: proposed, PoS: verbs, Count: 68
Word: however, PoS: adverbs, Count: 386
Word: believes, PoS: verbs, Count: 36
Word: two, PoS: others, Count: 984
Word: offices, PoS: nouns, Count: 39
Word: should, PoS: verbs, Count: 1
Word: be, PoS: verbs, Count: 1
Word: combined, PoS: verbs, Count: 29
